"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Dine brugeroplysninger er forkert, eller din brugerkonto er midlertidigt deaktiveret. Prøv venligst igen senere."
"The requested qty exceeds the maximum qty allowed in shopping cart","Det valgte antal overskrider det maksimalt tilladte antal i kurven"
"The password doesn't match this account. Verify the password and try again.","Adgangskoden matcher ikke denne konto. Bekræft adgangskoden, og prøv igen."
"A customer with the same email address already exists in an associated website.","Du har allerede en bruger med samme mailadresse. Log venligst ind med denne eller gendan din adgangskode"
"The password needs at least %1 characters. Create a new password and try again.","Din adgangskode skal indeholde mindst %1 tegn. Opret ny adgangskode og prøv igen."
"terms_and_conditions","Handelsbetingelser"
"Internal Error. Details are available in Magento log file. Report ID: %1","Intern fejl: Flere oplysninger kan findes i logfilen på Magento. Report ID %1"
"The coupon code isn't valid. Verify the code and try again.","Rabatkoden er ugyldig. Tjek venligst koden og prøv igen."
"Cost","Kostpris"
"Shipping & Handling (%1)","Fragt og håndtering (%1)"
"Shipping & Handling","Fragt og håndtering"
"Product Name","Produktnavn:"
"Quantity","Antal"
"In stock","På lager"
"Out of stock","Ikke på lager"
"Your name", "Your name"
"Your email", "Your email"
"Your password", "Your password"
"Confirm your password", "Confirm your password"
"Your telephone", "Your telephone"
"Thank You for the purchase!","Tak for dit køb!"
